lon lat cmedv crim zn indus chas nox rm age dis rad tax ptratio b lstat
-70.9720 42.2765 13.2  1.38799   0.0  8.14 0 0.5380 5.950  82.0  3.9900  4 307 21.0 232.60 27.71
-70.9795 42.2760 13.1  1.15172   0.0  8.14 0 0.5380 5.701  95.0  3.7872  4 307 21.0 358.77 18.35
-70.9775 42.2720 13.5  1.61282   0.0  8.14 0 0.5380 6.096  96.9  3.7598  4 307 21.0 248.31 20.34
-71.0000 42.2700 18.9  0.06417   0.0  5.96 0 0.4990 5.933  68.2  3.3603  5 279 19.2 396.90  9.68
-71.0080 42.2745 20.0  0.09744   0.0  5.96 0 0.4990 5.841  61.4  3.3779  5 279 19.2 377.56 11.41
-71.0040 42.2865 21.0  0.08014   0.0  5.96 0 0.4990 5.850  41.5  3.9342  5 279 19.2 396.90  8.77
-71.0200 42.2875 24.2  0.17505   0.0  5.96 0 0.4990 5.966  30.2  3.8473  5 279 19.2 393.43 10.13
-71.0130 42.3130 30.8  0.02763  75.0  2.95 0 0.4280 6.595  21.8  5.4011  3 252 18.3 395.63  4.32
-71.0300 42.3240 34.9  0.03359  75.0  2.95 0 0.4280 7.024  15.8  5.4011  3 252 18.3 395.62  1.98
-71.0040 42.3350 26.6  0.12744   0.0  6.91 0 0.4480 6.770   2.9  5.7209  3 233 17.9 385.41  4.84
-71.0030 42.3235 25.3  0.14150   0.0  6.91 0 0.4480 6.169   6.6  5.7209  3 233 17.9 383.37  5.81
-70.9775 42.3237 24.7  0.15936   0.0  6.91 0 0.4480 6.211   6.5  5.7209  3 233 17.9 394.46  7.44
-70.9675 42.3170 21.2  0.12269   0.0  6.91 0 0.4480 6.069  40.0  5.7209  3 233 17.9 389.39  9.55
-70.9725 42.3075 19.3  0.17142   0.0  6.91 0 0.4480 5.682  33.8  5.1004  3 233 17.9 396.90 10.21
-70.9650 42.3075 20.0  0.18836   0.0  6.91 0 0.4480 5.786  33.3  5.1004  3 233 17.9 396.90 14.15
-70.9560 42.3125 16.6  0.22927   0.0  6.91 0 0.4480 6.030  85.5  5.6894  3 233 17.9 392.74 18.80
-70.9550 42.3165 14.4  0.25387   0.0  6.91 0 0.4480 5.399  95.3  5.8700  3 233 17.9 396.90 30.81
-70.9525 42.3208 19.4  0.21977   0.0  6.91 0 0.4480 5.602  62.0  6.0877  3 233 17.9 396.90 16.20
-70.9510 42.3340 19.7  0.08873  21.0  5.64 0 0.4390 5.963  45.7  6.8147  4 243 16.8 395.56 13.45
-70.9630 42.3382 20.5  0.04337  21.0  5.64 0 0.4390 6.115  63.0  6.8147  4 243 16.8 393.97  9.43
-70.9580 42.3460 25.0  0.05360  21.0  5.64 0 0.4390 6.511  21.1  6.8147  4 243 16.8 396.90  5.28
-70.9780 42.3425 23.4  0.04981  21.0  5.64 0 0.4390 5.998  21.4  6.8147  4 243 16.8 396.90  8.43
-71.0175 42.3715 18.9  0.01360  75.0  4.00 0 0.4100 5.888  47.6  7.3197  3 469 21.1 396.90 14.80
-70.9625 42.3810 35.4  0.01311  90.0  1.22 0 0.4030 7.249  21.9  8.6966  5 226 17.9 395.93  4.81
-70.9300 42.3740 24.7  0.02055  85.0  0.74 0 0.4100 6.383  35.7  9.1876  2 313 17.3 396.90  5.77
-70.9295 42.3715 31.6  0.01432 100.0  1.32 0 0.4110 6.816  40.5  8.3248  5 256 15.1 392.90  3.95
-70.9385 42.3460 23.3  0.15445  25.0  5.13 0 0.4530 6.145  29.2  7.8148  8 284 19.7 390.68  6.86
-70.9400 42.3320 19.6  0.10328  25.0  5.13 0 0.4530 5.927  47.2  6.9320  8 284 19.7 396.90  9.22
-70.9300 42.3370 18.7  0.14932  25.0  5.13 0 0.4530 5.741  66.2  7.2254  8 284 19.7 395.11 13.15
-70.9300 42.3275 16.0  0.17171  25.0  5.13 0 0.4530 5.966  93.4  6.8185  8 284 19.7 378.08 14.44
-70.9215 42.3320 22.2  0.11027  25.0  5.13 0 0.4530 6.456  67.8  7.2255  8 284 19.7 396.90  6.73
-70.9075 42.3390 25.0  0.12650  25.0  5.13 0 0.4530 6.762  43.4  7.9809  8 284 19.7 395.58  9.50
-70.8600 42.3450 33.0  0.01951  17.5  1.38 0 0.4161 7.104  59.5  9.2229  3 216 18.6 393.24  8.05
-71.0450 42.3450 23.5  0.03584  80.0  3.37 0 0.3980 6.290  17.8  6.6115  4 337 16.1 396.90  4.67
-71.0690 42.3525 19.4  0.04379  80.0  3.37 0 0.3980 5.787  31.1  6.6115  4 337 16.1 396.90 10.24
-71.0900 42.3362 22.0  0.05789  12.5  6.07 0 0.4090 5.878  21.4  6.4980  4 345 18.9 396.21  8.10
-71.1080 42.3400 17.4  0.13554  12.5  6.07 0 0.4090 5.594  36.8  6.4980  4 345 18.9 396.90 13.09
-71.1110 42.3270 20.9  0.12816  12.5  6.07 0 0.4090 5.885  33.0  6.4980  4 345 18.9 396.90  8.79
-71.1210 42.3160 24.2  0.08826   0.0 10.81 0 0.4130 6.417   6.6  5.2873  4 305 19.2 383.73  6.72
-71.1095 42.3008 21.7  0.15876   0.0 10.81 0 0.4130 5.961  17.5  5.2873  4 305 19.2 376.94  9.88
-71.1300 42.3050 22.8  0.09164   0.0 10.81 0 0.4130 6.065   7.8  5.2873  4 305 19.2 390.91  5.52
-71.1230 42.2920 23.4  0.19539   0.0 10.81 0 0.4130 6.245   6.2  5.2873  4 305 19.2 377.17  7.54
-71.1105 42.2890 24.1  0.07896   0.0 12.83 0 0.4370 6.273   6.0  4.2515  5 398 18.7 394.92  6.78
-71.1000 42.2875 21.4  0.09512   0.0 12.83 0 0.4370 6.286  45.0  4.5026  5 398 18.7 383.23  8.94
-71.0900 42.2835 20.0  0.10153   0.0 12.83 0 0.4370 6.279  74.5  4.0522  5 398 18.7 373.66 11.97
-71.0760 42.2895 20.8  0.08707   0.0 12.83 0 0.4370 6.140  45.8  4.0905  5 398 18.7 386.96 10.27
-71.0905 42.2950 21.2  0.05646   0.0 12.83 0 0.4370 6.232  53.7  5.0141  5 398 18.7 386.40 12.34
-71.0910 42.3050 20.3  0.08387   0.0 12.83 0 0.4370 5.874  36.6  4.5026  5 398 18.7 396.06  9.10
-71.0685 42.3080 28.0  0.04113  25.0  4.86 0 0.4260 6.727  33.5  5.4007  4 281 19.0 396.90  5.29
-71.0690 42.3150 23.9  0.04462  25.0  4.86 0 0.4260 6.619  70.4  5.4007  4 281 19.0 395.63  7.22
-71.0675 42.3260 24.8  0.03659  25.0  4.86 0 0.4260 6.302  32.2  5.4007  4 281 19.0 396.90  6.72
-71.0575 42.3170 22.9  0.03551  25.0  4.86 0 0.4260 6.167  46.7  5.4007  4 281 19.0 390.64  7.51
-71.0430 42.3075 23.9  0.05059   0.0  4.49 0 0.4490 6.389  48.0  4.7794  3 247 18.5 396.90  9.62
-71.0500 42.3000 26.6  0.05735   0.0  4.49 0 0.4490 6.630  56.1  4.4377  3 247 18.5 392.30  6.53
-71.0330 42.3050 22.5  0.05188   0.0  4.49 0 0.4490 6.015  45.1  4.4272  3 247 18.5 395.99 12.86
-71.0390 42.2885 22.2  0.07151   0.0  4.49 0 0.4490 6.121  56.8  3.7476  3 247 18.5 395.15  8.44
-71.0420 42.2796 23.6  0.05660   0.0  3.41 0 0.4890 7.007  86.3  3.4217  2 270 17.8 396.90  5.50
-71.0345 42.2785 28.7  0.05302   0.0  3.41 0 0.4890 7.079  63.1  3.4145  2 270 17.8 396.06  5.70
-71.0300 42.2720 22.6  0.04684   0.0  3.41 0 0.4890 6.417  66.1  3.0923  2 270 17.8 392.18  8.81
-71.0425 42.2715 22.0  0.03932   0.0  3.41 0 0.4890 6.405  73.9  3.0921  2 270 17.8 393.55  8.20
-71.0530 42.2830 22.9  0.04203  28.0 15.04 0 0.4640 6.442  53.6  3.6659  4 270 18.2 395.01  8.16
-71.0620 42.2960 25.0  0.02875  28.0 15.04 0 0.4640 6.211  28.9  3.6659  4 270 18.2 396.33  6.21
-71.0615 42.2840 20.6  0.04294  28.0 15.04 0 0.4640 6.249  77.3  3.6150  4 270 18.2 396.90 10.59
-71.0760 42.2775 28.4  0.12204   0.0  2.89 0 0.4450 6.625  57.8  3.4952  2 276 18.0 357.98  6.65
-71.0850 42.2775 21.4  0.11504   0.0  2.89 0 0.4450 6.163  69.6  3.4952  2 276 18.0 391.83 11.34
-71.0890 42.2715 38.7  0.12083   0.0  2.89 0 0.4450 8.069  76.0  3.4952  2 276 18.0 396.90  4.21
-71.0982 42.2685 43.8  0.08187   0.0  2.89 0 0.4450 7.820  36.9  3.4952  2 276 18.0 393.53  3.57
-71.0800 42.2680 33.2  0.06860   0.0  2.89 0 0.4450 7.416  62.5  3.4952  2 276 18.0 396.90  6.19
-71.0668 42.2545 27.5  0.14866   0.0  8.56 0 0.5200 6.727  79.9  2.7778  5 384 20.9 394.76  9.42
-71.0810 42.2450 26.5  0.11432   0.0  8.56 0 0.5200 6.781  71.3  2.8561  5 384 20.9 395.58  7.67
-71.0812 42.2515 18.6  0.22876   0.0  8.56 0 0.5200 6.405  85.4  2.7147  5 384 20.9  70.80 10.63
-71.0770 42.2490 19.3  0.21161   0.0  8.56 0 0.5200 6.137  87.4  2.7147  5 384 20.9 394.47 13.44
-71.0690 42.2480 20.1  0.13960   0.0  8.56 0 0.5200 6.167  90.0  2.4210  5 384 20.9 392.69 12.33
-71.0662 42.2425 19.5  0.13262   0.0  8.56 0 0.5200 5.851  96.7  2.1069  5 384 20.9 394.05 16.47
-71.0622 42.2431 19.5  0.17120   0.0  8.56 0 0.5200 5.836  91.9  2.2110  5 384 20.9 395.67 18.66
-71.0553 42.2465 20.4  0.13117   0.0  8.56 0 0.5200 6.127  85.2  2.1224  5 384 20.9 387.69 14.09
-71.0550 42.2505 19.8  0.12802   0.0  8.56 0 0.5200 6.474  97.1  2.4329  5 384 20.9 395.24 12.27
-71.0600 42.2540 19.4  0.26363   0.0  8.56 0 0.5200 6.229  91.2  2.5451  5 384 20.9 391.23 15.55
-71.0560 42.2605 21.7  0.10793   0.0  8.56 0 0.5200 6.195  54.4  2.7778  5 384 20.9 393.49 13.00
-71.0475 42.2610 22.8  0.10084   0.0 10.01 0 0.5470 6.715  81.6  2.6775  6 432 17.8 395.59 10.16
-71.0490 42.2530 18.8  0.12329   0.0 10.01 0 0.5470 5.913  92.9  2.3534  6 432 17.8 394.95 16.21
-71.0428 42.2580 18.7  0.22212   0.0 10.01 0 0.5470 6.092  95.4  2.5480  6 432 17.8 396.90 17.09
-71.0396 42.2512 18.5  0.14231   0.0 10.01 0 0.5470 6.254  84.2  2.2565  6 432 17.8 388.74 10.45
-71.0355 42.2545 18.3  0.17134   0.0 10.01 0 0.5470 5.928  88.2  2.4631  6 432 17.8 344.91 15.76
-71.0360 42.2608 21.2  0.13158   0.0 10.01 0 0.5470 6.176  72.5  2.7301  6 432 17.8 393.30 12.04
-71.0285 42.2620 19.2  0.15098   0.0 10.01 0 0.5470 6.021  82.6  2.7474  6 432 17.8 394.51 10.30
-71.0285 42.2580 20.4  0.13058   0.0 10.01 0 0.5470 5.872  73.1  2.4775  6 432 17.8 338.63 15.37
-71.0190 42.2605 19.3  0.14476   0.0 10.01 0 0.5470 5.731  65.2  2.7592  6 432 17.8 391.50 13.61
-71.0243 42.2483 22.0  0.06899   0.0 25.65 0 0.5810 5.870  69.7  2.2577  2 188 19.1 389.15 14.37
-71.0312 42.2505 20.3  0.07165   0.0 25.65 0 0.5810 6.004  84.1  2.1974  2 188 19.1 377.67 14.27
-71.0377 42.2470 20.5  0.09299   0.0 25.65 0 0.5810 5.961  92.9  2.0869  2 188 19.1 378.09 17.93
-71.0370 42.2435 17.3  0.15038   0.0 25.65 0 0.5810 5.856  97.0  1.9444  2 188 19.1 370.31 25.41
-71.0308 42.2450 18.8  0.09849   0.0 25.65 0 0.5810 5.879  95.8  2.0063  2 188 19.1 379.38 17.58
-71.0262 42.2431 21.4  0.16902   0.0 25.65 0 0.5810 5.986  88.4  1.9929  2 188 19.1 385.02 14.81
-71.0333 42.2395 15.7  0.38735   0.0 25.65 0 0.5810 5.613  95.6  1.7572  2 188 19.1 359.29 27.26
-71.0530 42.2355 16.2  0.25915   0.0 21.89 0 0.6240 5.693  96.0  1.7883  4 437 21.2 392.11 17.19
-71.0580 42.2350 18.0  0.32543   0.0 21.89 0 0.6240 6.431  98.8  1.8125  4 437 21.2 396.90 15.39
-71.0638 42.2368 14.3  0.88125   0.0 21.89 0 0.6240 5.637  94.7  1.9799  4 437 21.2 396.90 18.34
-71.0692 42.2390 19.2  0.34006   0.0 21.89 0 0.6240 6.458  98.9  2.1185  4 437 21.2 395.04 12.60
-71.0750 42.2400 19.6  1.19294   0.0 21.89 0 0.6240 6.326  97.7  2.2710  4 437 21.2 396.90 12.26
-71.0745 42.2405 23.0  0.59005   0.0 21.89 0 0.6240 6.372  97.9  2.3274  4 437 21.2 385.76 11.12
-71.0790 42.2450 18.4  0.32982   0.0 21.89 0 0.6240 5.822  95.4  2.4699  4 437 21.2 388.69 15.03
-71.0760 42.2405 15.6  0.97617   0.0 21.89 0 0.6240 5.757  98.4  2.3460  4 437 21.2 262.76 17.31
-71.0750 42.2362 18.1  0.55778   0.0 21.89 0 0.6240 6.335  98.2  2.1107  4 437 21.2 394.67 16.96
-71.0677 42.2335 17.4  0.32264   0.0 21.89 0 0.6240 5.942  93.5  1.9669  4 437 21.2 378.25 16.90
-71.0630 42.2325 17.1  0.35233   0.0 21.89 0 0.6240 6.454  98.4  1.8498  4 437 21.2 394.08 14.59
-71.0620 42.2275 13.3  0.24980   0.0 21.89 0 0.6240 5.857  98.2  1.6686  4 437 21.2 392.04 21.32
-71.0568 42.2300 17.8  0.54452   0.0 21.89 0 0.6240 6.151  97.9  1.6687  4 437 21.2 396.90 18.46
-71.0518 42.2312 14.0  0.29090   0.0 21.89 0 0.6240 6.174  93.6  1.6119  4 437 21.2 388.08 24.16
-71.0543 42.2265 14.4  1.62864   0.0 21.89 0 0.6240 5.019 100.0  1.4394  4 437 21.2 396.90 34.41
-71.0480 42.2222 13.4  3.32105   0.0 19.58 1 0.8710 5.403 100.0  1.3216  5 403 14.7 396.90 26.82
-71.0519 42.2230 15.6  4.09740   0.0 19.58 0 0.8710 5.468 100.0  1.4118  5 403 14.7 396.90 26.42
-71.0510 42.2205 11.8  2.77974   0.0 19.58 0 0.8710 4.903  97.8  1.3459  5 403 14.7 396.90 29.29
-71.0540 42.2190 13.8  2.37934   0.0 19.58 0 0.8710 6.130 100.0  1.4191  5 403 14.7 172.91 27.80
-71.0590 42.2210 15.6  2.15505   0.0 19.58 0 0.8710 5.628 100.0  1.5166  5 403 14.7 169.27 16.65
-71.0555 42.2222 14.6  2.36862   0.0 19.58 0 0.8710 4.926  95.7  1.4608  5 403 14.7 391.71 29.53
-71.0567 42.2240 17.8  2.33099   0.0 19.58 0 0.8710 5.186  93.8  1.5296  5 403 14.7 356.99 28.32
-71.0580 42.2230 15.4  2.73397   0.0 19.58 0 0.8710 5.597  94.9  1.5257  5 403 14.7 351.85 21.45
-71.0620 42.2236 21.5  1.65660   0.0 19.58 0 0.8710 6.122  97.3  1.6180  5 403 14.7 372.80 14.10
-71.0622 42.2205 19.6  1.49632   0.0 19.58 0 0.8710 5.404 100.0  1.5916  5 403 14.7 341.60 13.28
-71.0590 42.2170 15.3  1.12658   0.0 19.58 1 0.8710 5.012  88.0  1.6102  5 403 14.7 343.28 12.12
-71.0645 42.2150 19.4  2.14918   0.0 19.58 0 0.8710 5.709  98.5  1.6232  5 403 14.7 261.95 15.79
-71.0662 42.2162 17.0  1.41385   0.0 19.58 1 0.8710 6.129  96.0  1.7494  5 403 14.7 321.02 15.12
-71.0680 42.2150 15.6  3.53501   0.0 19.58 1 0.8710 6.152  82.6  1.7455  5 403 14.7  88.01 15.02
-71.0667 42.2200 13.1  2.44668   0.0 19.58 0 0.8710 5.272  94.0  1.7364  5 403 14.7  88.63 16.14
-71.0690 42.2285 41.3  1.22358   0.0 19.58 0 0.6050 6.943  97.4  1.8773  5 403 14.7 363.43  4.59
-71.0670 42.2245 24.3  1.34284   0.0 19.58 0 0.6050 6.066 100.0  1.7573  5 403 14.7 353.89  6.43
-71.0650 42.2223 23.3  1.42502   0.0 19.58 0 0.8710 6.510 100.0  1.7659  5 403 14.7 364.31  7.39
-71.0700 42.2214 27.0  1.27346   0.0 19.58 1 0.6050 6.250  92.6  1.7984  5 403 14.7 338.92  5.50
-71.0735 42.2282 50.0  1.46336   0.0 19.58 0 0.6050 7.489  90.8  1.9709  5 403 14.7 374.43  1.73
-71.0770 42.2250 50.0  1.83377   0.0 19.58 1 0.6050 7.802  98.2  2.0407  5 403 14.7 389.61  1.92
-71.0815 42.2250 50.0  1.51902   0.0 19.58 1 0.6050 8.375  93.9  2.1620  5 403 14.7 388.45  3.32
-71.0918 42.2265 22.7  2.24236   0.0 19.58 0 0.6050 5.854  91.8  2.4220  5 403 14.7 395.11 11.64
-71.0820 42.2295 25.0  2.92400   0.0 19.58 0 0.6050 6.101  93.0  2.2834  5 403 14.7 240.16  9.81
-71.0770 42.2305 50.0  2.01019   0.0 19.58 0 0.6050 7.929  96.2  2.0459  5 403 14.7 369.30  3.70
-71.0866 42.2345 23.8  1.80028   0.0 19.58 0 0.6050 5.877  79.2  2.4259  5 403 14.7 227.61 12.14
-71.0740 42.2331 23.8  2.30040   0.0 19.58 0 0.6050 6.319  96.1  2.1000  5 403 14.7 297.09 11.10
-71.0775 42.2351 22.3  2.44953   0.0 19.58 0 0.6050 6.402  95.2  2.2625  5 403 14.7 330.04 11.32
-71.0810 42.2368 17.4  1.20742   0.0 19.58 0 0.6050 5.875  94.6  2.4259  5 403 14.7 292.29 14.43
-71.0792 42.2390 19.1  2.31390   0.0 19.58 0 0.6050 5.880  97.3  2.3887  5 403 14.7 348.13 12.03
-71.0870 42.2416 23.1  0.13914   0.0  4.05 0 0.5100 5.572  88.5  2.5961  5 296 16.6 396.90 14.69
-71.0855 42.2450 23.6  0.09178   0.0  4.05 0 0.5100 6.416  84.1  2.6463  5 296 16.6 395.50  9.04
-71.0833 42.2475 22.6  0.08447   0.0  4.05 0 0.5100 5.859  68.7  2.7019  5 296 16.6 393.23  9.64
-71.0940 42.2575 29.4  0.06664   0.0  4.05 0 0.5100 6.546  33.1  3.1323  5 296 16.6 390.96  5.33
-71.1125 42.2550 23.2  0.07022   0.0  4.05 0 0.5100 6.020  47.2  3.5549  5 296 16.6 393.23 10.11
-71.1060 42.2512 24.6  0.05425   0.0  4.05 0 0.5100 6.315  73.4  3.3175  5 296 16.6 395.60  6.29
-71.0965 42.2470 29.9  0.06642   0.0  4.05 0 0.5100 6.860  74.4  2.9153  5 296 16.6 391.27  6.92
-71.1000 42.2408 37.2  0.05780   0.0  2.46 0 0.4880 6.980  58.4  2.8290  3 193 17.8 396.90  5.04
-71.0995 42.2345 39.8  0.06588   0.0  2.46 0 0.4880 7.765  83.3  2.7410  3 193 17.8 395.56  7.56
-71.0966 42.2282 36.2  0.06888   0.0  2.46 0 0.4880 6.144  62.2  2.5979  3 193 17.8 396.90  9.45
-71.1005 42.2287 37.9  0.09103   0.0  2.46 0 0.4880 7.155  92.2  2.7006  3 193 17.8 394.12  4.82
-71.1065 42.2300 32.5  0.10008   0.0  2.46 0 0.4880 6.563  95.6  2.8470  3 193 17.8 396.90  5.68
-71.1120 42.2300 26.4  0.08308   0.0  2.46 0 0.4880 5.604  89.8  2.9879  3 193 17.8 391.00 13.98
-71.1175 42.2350 29.6  0.06047   0.0  2.46 0 0.4880 6.153  68.8  3.2797  3 193 17.8 387.11 13.15
-71.1115 42.2442 50.0  0.05602   0.0  2.46 0 0.4880 7.831  53.6  3.1992  3 193 17.8 392.63  4.45
-71.1220 42.2565 32.0  0.07875  45.0  3.44 0 0.4370 6.782  41.1  3.7886  5 398 15.2 393.87  6.68
-71.1408 42.2550 29.8  0.12579  45.0  3.44 0 0.4370 6.556  29.1  4.5667  5 398 15.2 382.84  4.56
-71.1450 42.2651 34.9  0.08370  45.0  3.44 0 0.4370 7.185  38.9  4.5667  5 398 15.2 396.90  5.39
-71.1216 42.2700 33.0  0.09068  45.0  3.44 0 0.4370 6.951  21.5  6.4798  5 398 15.2 377.68  5.10
-71.1485 42.2765 30.5  0.06911  45.0  3.44 0 0.4370 6.739  30.8  6.4798  5 398 15.2 389.71  4.69
-71.1340 42.2785 36.4  0.08664  45.0  3.44 0 0.4370 7.178  26.3  6.4798  5 398 15.2 390.49  2.87
-71.1525 42.3000 31.1  0.02187  60.0  2.93 0 0.4010 6.800   9.9  6.2196  1 265 15.6 393.37  5.03
-71.1633 42.3030 29.1  0.01439  60.0  2.93 0 0.4010 6.604  18.8  6.2196  1 265 15.6 376.70  4.38
-71.1890 42.2525 50.0  0.01381  80.0  0.46 0 0.4220 7.875  32.0  5.6484  4 255 14.4 394.23  2.97
-71.2200 42.2715 33.3  0.04011  80.0  1.52 0 0.4040 7.287  34.1  7.3090  2 329 12.6 396.90  4.08
-71.2400 42.2725 30.3  0.04666  80.0  1.52 0 0.4040 7.107  36.6  7.3090  2 329 12.6 354.31  8.61
-71.2220 42.2890 34.6  0.03768  80.0  1.52 0 0.4040 7.274  38.3  7.3090  2 329 12.6 392.20  6.62
-71.2440 42.2425 34.9  0.03150  95.0  1.47 0 0.4030 6.975  15.3  7.6534  3 402 17.0 396.90  4.56
-71.2630 42.2225 32.9  0.01778  95.0  1.47 0 0.4030 7.135  13.9  7.6534  3 402 17.0 384.30  4.45
-71.2185 42.1955 24.1  0.03445  82.5  2.03 0 0.4150 6.162  38.4  6.2700  2 348 14.7 393.77  7.43
-71.2140 42.2180 42.3  0.02177  82.5  2.03 0 0.4150 7.610  15.7  6.2700  2 348 14.7 395.38  3.11
-71.1990 42.2320 48.5  0.03510  95.0  2.68 0 0.4161 7.853  33.2  5.1180  4 224 14.7 392.78  3.81
-71.1990 42.2058 50.0  0.02009  95.0  2.68 0 0.4161 8.034  31.9  5.1180  4 224 14.7 390.55  2.88
-71.1475 42.2445 22.6  0.13642   0.0 10.59 0 0.4890 5.891  22.3  3.9454  4 277 18.6 396.90 10.87
-71.1500 42.2308 24.4  0.22969   0.0 10.59 0 0.4890 6.326  52.5  4.3549  4 277 18.6 394.87 10.97
-71.1490 42.2268 22.5  0.25199   0.0 10.59 0 0.4890 5.783  72.7  4.3549  4 277 18.6 389.43 18.06
-71.1503 42.2220 24.4  0.13587   0.0 10.59 1 0.4890 6.064  59.1  4.2392  4 277 18.6 381.32 14.66
-71.1430 42.2217 20.0  0.43571   0.0 10.59 1 0.4890 5.344 100.0  3.8750  4 277 18.6 396.90 23.09
-71.1435 42.2177 21.7  0.17446   0.0 10.59 1 0.4890 5.960  92.1  3.8771  4 277 18.6 393.25 17.27
-71.1380 42.2216 19.3  0.37578   0.0 10.59 1 0.4890 5.404  88.6  3.6650  4 277 18.6 395.24 23.98
-71.1335 42.2250 22.4  0.21719   0.0 10.59 1 0.4890 5.807  53.8  3.6526  4 277 18.6 390.94 16.03
-71.1375 42.2355 28.1  0.14052   0.0 10.59 0 0.4890 6.375  32.3  3.9454  4 277 18.6 385.81  9.38
-71.1270 42.2350 23.7  0.28955   0.0 10.59 0 0.4890 5.412   9.8  3.5875  4 277 18.6 348.93 29.55
-71.1245 42.2277 25.0  0.19802   0.0 10.59 0 0.4890 6.182  42.4  3.9454  4 277 18.6 393.63  9.47
-71.1166 42.2230 23.3  0.04560   0.0 13.89 1 0.5500 5.888  56.0  3.1121  5 276 16.4 392.80 13.51
